id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6010,2,35,1,632,1,9,4,3,4,28,313,205,386,0,0,0,1,0
6011,2,31,2,712,1,0,1,1,2,36,41,13,500,0,1,0,2,0
6012,2,36,1,710,1,11,16,5,4,8,190,14,500,0,1,0,2,0
6013,1,36,2,712,1,3,0,4,4,20,85,14,374,0,1,1,1,0
6014,2,31,2,712,1,4,3,0,4,12,67,2,255,0,1,0,1,0
6015,2,31,2,712,1,5,1,0,1,14,49,6,272,0,1,0,1,0
6016,2,35,2,712,1,1,1,1,4,9,45,12,306,0,1,0,1,0
6017,2,34,2,712,1,6,10,1,4,14,204,1170,500,2,1,1,1,0
6018,2,30,2,712,1,5,4,1,2,8,112,56,307,0,1,0,2,0
6019,2,32,2,712,1,1,0,0,4,12,86,12,500,0,1,1,4,1
6020,2,33,2,712,1,3,0,4,4,12,100,103,500,0,1,0,2,0
6021,2,33,2,712,1,5,2,0,4,10,100,87,472,0,1,0,1,0
6022,2,37,2,712,1,2,5,0,4,11,117,30,500,0,1,0,2,0
6023,2,31,2,712,1,0,3,1,4,8,205,0,500,0,1,0,1,0
6024,1,36,2,712,1,10,4,0,4,17,129,66,500,0,1,1,4,1
6025,1,34,2,712,1,7,7,3,4,9,392,83,500,0,1,0,5,1
6026,2,31,2,712,1,10,12,2,4,18,217,558,500,1,1,1,3,1
6027,2,34,2,712,1,6,10,3,4,14,463,156,500,0,1,1,3,1
6028,2,30,1,712,1,0,0,0,4,15,77,21,306,0,1,0,1,0
6029,2,31,2,712,1,5,7,1,4,14,110,62,68,0,1,0,2,1
6030,1,32,2,712,1,8,4,2,4,8,279,8,155,0,1,0,1,0
6031,2,35,1,651,0,3,2,0,4,10,122,0,132,0,0,1,3,0
6032,1,32,2,712,1,10,4,4,4,20,181,18,317,0,1,1,5,1
6033,2,35,2,712,1,4,8,0,2,14,321,6,391,0,1,0,,
6034,2,29,2,712,1,0,2,0,4,16,24,0,214,0,1,0,4,1
6035,2,31,1,2213,1,3,1,1,4,8,166,58,110,0,1,0,,
6036,2,31,1,2213,1,0,2,0,2,12,16,0,217,0,1,0,,
6037,2,32,2,2213,1,2,2,0,4,8,117,0,125,0,1,0,,
6038,2,39,2,2213,1,3,5,1,4,9,110,39,164,0,1,0,,
6039,1,33,1,2213,0,1,1,0,4,8,123,0,194,1,1,1,5,1
6040,2,34,2,2213,1,5,4,1,4,20,144,4,176,0,1,0,,
6041,1,34,2,2213,1,5,3,0,4,12,488,10,143,2,1,0,4,1
6042,2,32,1,2213,1,0,4,0,4,12,34,6,189,0,1,0,,
6043,1,32,2,2213,1,4,3,0,4,13,34,0,148,0,1,1,,
6044,2,35,2,2213,0,2,12,3,2,16,240,8,274,6,1,1,5,1
6045,2,33,2,2213,1,0,2,0,4,22,243,255,500,1,1,0,5,1
6046,1,30,1,2213,1,6,2,1,2,14,92,42,299,0,1,0,4,1
6047,1,35,2,2213,1,12,2,0,4,16,94,2,500,1,1,1,,
6048,2,31,2,2213,1,0,4,0,4,9,37,14,321,1,1,0,,
6049,2,31,2,2213,1,3,1,1,2,12,41,0,85,0,1,0,,
6050,1,33,2,2213,1,10,12,4,4,12,146,202,500,0,1,0,3,1
6051,2,31,2,2213,1,10,13,2,4,12,156,119,411,0,1,1,,
6052,2,33,2,2213,1,5,6,1,2,20,217,265,500,2,1,1,5,1
6053,2,33,2,712,1,8,5,1,4,15,61,8,140,0,1,0,3,1
6054,2,35,1,590,1,6,6,3,4,8,229,82,422,0,0,1,4,1
6055,1,37,1,590,1,5,5,0,4,19,120,58,500,0,0,0,,
6056,2,36,1,590,1,7,10,4,1,15,235,80,500,1,0,1,5,1
6057,2,35,2,590,1,5,8,0,4,7,132,32,212,0,0,1,,
6058,2,32,1,590,1,9,0,0,4,19,64,43,323,0,0,0,,
6059,2,34,2,590,1,8,8,1,3,9,246,77,500,1,0,0,,
6060,2,32,2,590,1,6,15,4,2,12,166,118,500,6,0,1,5,1
6061,2,34,2,590,0,11,8,3,2,7,164,141,500,2,0,0,5,1
6062,2,31,2,590,1,6,14,4,4,18,152,210,500,2,0,0,3,1
6063,2,33,2,590,1,0,3,0,1,17,34,29,391,0,0,0,5,1
6064,1,36,2,590,1,7,4,1,4,4,248,15,139,7,0,1,5,1
