id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6277,2,32,2,2810,1,0,10,2,4,9,163,118,344,0,0,1,5,1
6278,1,35,2,2810,1,0,5,1,3,10,68,0,500,0,0,0,1,0
6279,1,29,2,2810,1,7,2,0,2,12,185,0,109,1,0,1,3,1
6280,1,32,1,2810,1,3,2,0,1,7,55,0,38,0,0,1,2,0
6281,2,32,2,2810,1,0,3,0,4,6,121,129,500,0,0,1,5,1
6282,2,33,2,1393,1,6,7,1,4,10,270,172,393,0,0,0,1,0
6283,2,28,2,3039,1,2,9,1,4,14,247,0,175,0,1,0,5,1
6284,2,30,2,3039,1,2,4,0,2,9,60,40,370,0,1,0,5,1
6285,2,32,2,3039,1,6,7,1,3,10,128,35,201,0,1,1,5,1
6286,1,34,2,3039,1,5,0,2,4,1,55,0,44,0,1,0,3,1
6287,2,32,2,3039,1,0,2,2,4,14,95,29,100,0,1,0,1,0
6288,1,34,1,3039,1,0,2,1,4,10,30,0,500,0,1,0,1,0
6289,2,32,1,3039,1,5,4,2,4,14,92,0,119,0,1,0,2,0
6290,1,31,2,3039,1,2,7,1,2,8,513,0,172,0,1,1,3,1
6291,2,34,2,3039,1,7,14,8,4,18,391,0,80,5,1,1,5,1
6292,2,32,2,3039,1,2,3,1,4,6,31,0,36,0,1,0,2,0
6293,2,31,1,3039,1,3,0,0,4,10,102,51,186,0,1,0,2,0
6294,2,28,1,3039,1,0,6,0,4,14,160,26,144,0,1,0,1,0
6295,1,32,1,3039,1,3,0,0,4,10,100,4,401,0,1,1,1,0
6296,1,34,2,3039,1,5,0,0,4,18,65,0,76,0,1,1,3,0
6297,2,33,2,3039,1,2,2,2,4,10,180,0,279,0,1,1,4,1
6298,1,31,1,40,1,0,2,1,4,15,48,33,340,0,1,0,5,1
6299,2,30,2,40,1,0,2,0,2,10,149,2,248,0,1,0,4,1
6300,2,35,2,40,1,4,5,0,4,13,102,0,179,0,1,0,5,1
6301,2,30,2,40,1,3,1,2,2,14,86,30,161,0,1,0,3,1
6302,2,31,2,40,1,3,2,1,4,8,199,0,72,0,1,0,4,1
6303,2,35,1,40,1,5,14,5,4,9,191,184,500,0,1,1,4,1
6304,2,32,1,40,1,5,4,0,4,10,177,0,393,0,1,0,5,1
6305,2,30,2,40,1,10,4,1,4,14,247,6,276,0,1,0,3,1
6306,2,35,2,40,1,5,3,0,4,10,73,108,500,1,1,0,3,1
6307,2,34,2,40,1,1,3,1,1,12,33,0,500,0,1,0,3,0
6308,2,40,2,40,1,0,0,0,4,10,109,120,479,0,1,0,2,1
6309,2,32,2,40,1,4,0,3,4,2,148,0,500,0,1,1,3,1
6310,1,31,2,40,1,0,5,1,2,13,94,8,253,1,1,1,5,1
6311,1,37,2,40,0,0,0,0,4,12,41,4,274,0,1,1,5,1
6312,1,36,1,3043,1,0,2,0,4,15,45,160,123,0,1,0,5,1
6313,2,33,1,329,1,1,1,2,4,9,216,40,131,0,0,0,4,1
6314,2,35,1,329,1,6,9,0,4,10,150,8,125,0,0,1,4,1
6315,1,30,2,329,1,9,4,0,4,4,126,0,109,0,0,1,4,1
6316,1,24,1,329,1,4,5,1,4,10,445,4,434,0,0,1,1,0
6317,2,35,2,329,1,3,5,1,2,18,86,36,500,0,0,0,3,0
6318,1,30,2,329,1,3,6,1,2,2,223,6,65,0,0,0,2,0
6319,1,30,1,329,1,16,12,1,4,10,248,392,500,4,0,0,5,1
6320,2,36,2,329,1,0,5,1,4,9,29,60,297,0,0,0,1,0
6321,2,35,2,329,1,0,0,2,4,10,29,0,497,0,0,0,3,1
6322,2,32,1,329,1,4,9,2,3,10,417,3,500,2,0,1,4,0
6323,2,35,1,329,1,3,2,2,4,10,185,22,500,1,0,1,2,0
6324,1,32,2,329,1,1,3,0,4,15,59,24,247,1,0,0,2,0
