id,entidad,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
2002,Centro,2,31,2,2194,1,0,2,0,2,12,55,0,242,0,0,0,2,0
2003,Centro,2,34,2,514,1,2,0,0,1,11,13,0,60,0,0,0,1,0
2004,Centro,2,31,2,712,1,4,5,5,4,10,173,16,296,3,1,1,3,1
2005,Centro,2,35,1,671,1,12,0,6,2,26,168,210,500,0,1,0,3,1
2006,Centro,1,35,1,671,0,0,1,0,4,14,14,0,500,0,1,1,3,0
2007,Centro,1,35,1,671,0,1,8,2,4,18,80,2,2019,5,1,1,3,0
2008,Centro,1,34,1,712,1,2,5,0,4,6,139,114,311,0,1,1,3,1
2009,Centro,1,31,1,712,1,2,9,0,4,18,81,27,103,0,1,1,4,1
2010,Centro,2,31,1,712,1,3,3,0,1,8,106,30,467,0,1,0,3,1
2011,Centro,2,33,2,710,1,2,0,1,4,5,61,9,500,0,1,0,3,1
2012,Centro,2,33,1,671,1,13,12,4,4,22,242,426,500,0,1,1,3,1
2013,Centro,2,31,1,671,1,3,2,0,4,16,90,48,421,3,1,1,3,1
2014,Centro,2,35,1,671,1,0,0,0,1,15,44,9,221,0,1,0,3,1
2021,Centro,1,39,1,514,1,3,2,0,2,13,125,263,500,0,0,0,3,1
2023,Centro,1,29,2,1024,1,3,1,4,4,10,117,36,246,3,0,1,2,0
2024,Centro,2,31,1,2422,1,4,15,2,4,12,161,127,500,4,0,1,3,1
2029,Centro,2,30,2,712,1,5,3,3,4,18,453,0,404,0,1,0,3,1
2030,Centro,1,35,1,590,1,9,5,2,1,12,352,114,500,0,0,1,3,0
2032,Centro,2,31,2,2169,0,0,0,0,1,12,6,0,94,0,0,0,3,0
2034,Norte,1,32,2,2169,1,5,5,3,4,16,145,58,500,0,0,0,2,0
2035,Centro,1,33,2,2169,1,0,10,1,2,22,526,104,500,0,0,1,4,1
2036,Centro,2,32,2,2169,1,5,11,1,4,16,159,121,500,0,0,0,3,1
2037,Centro,1,35,2,2169,0,9,8,1,4,12,384,0,93,0,0,1,2,0
2038,Centro,1,32,2,2169,0,7,9,7,4,14,75,0,323,0,0,1,2,0
2040,Centro,2,31,2,2169,0,0,0,0,4,8,7,0,500,0,0,0,1,0
2041,Centro,2,34,2,2169,1,9,19,1,4,26,367,260,500,0,0,0,2,1
2042,Centro,1,33,2,1623,1,2,2,2,4,11,122,7,424,0,0,0,2,0
2048,Centro,1,33,1,645,1,0,0,0,4,6,66,0,137,0,0,1,3,1
2050,Centro,1,36,2,648,1,0,1,0,4,10,43,12,500,0,0,0,2,0
2051,Centro,1,31,1,645,1,0,0,0,4,5,14,2,156,0,0,0,2,0
2054,Centro,1,29,2,1635,1,0,1,1,4,22,174,35,328,0,0,0,3,1
2055,Centro,1,31,2,1635,1,3,9,2,4,10,123,6,601,4,0,1,3,0
